aoi,date,fid,area_ha,mean_dnbr,pre_bright,post_bright,delta,decision
35SMA,2025-07-30,0,3.2,0.26041476472691677,1360.6,1288.3,-0.053,keep
35SMB,2025-08-14,0,3.7,0.22264739259731328,1692.1,1717.3,0.015,keep
35SMB,2025-08-14,1,3.1,0.19721295186008012,1898.0,1753.0,-0.076,keep
35SMB,2025-08-14,2,6.8,0.25965181765384154,1648.2,1534.0,-0.069,keep
35SMB,2025-08-14,3,6.3,0.33052879971013727,1669.8,1534.9,-0.081,keep
35SMB,2025-08-14,4,64.6,0.3073486682177216,1636.1,1506.0,-0.08,keep
35SMB,2025-08-14,5,3.1,0.2522842279823524,1623.7,1515.2,-0.067,keep
35SMB,2025-08-14,6,5.1,0.30645898021956997,1606.1,1524.9,-0.051,keep
35SMB,2025-08-14,7,3.1,0.17087217882472006,1664.0,1588.8,-0.045,keep
35SMB,2025-08-14,8,7.4,0.29356217171886917,1823.6,1708.2,-0.063,keep
35SMB,2025-08-14,9,30.2,0.3577453782371763,1793.5,1687.0,-0.059,keep
35SMB,2025-08-14,10,4.6,0.29089356047556575,2098.1,1991.6,-0.051,keep
35SMB,2025-08-14,11,6.5,0.31935256195180345,2033.2,1930.6,-0.05,keep
35SMB,2025-08-14,12,4.6,0.3541571708418561,1869.6,1767.4,-0.055,keep
35SMB,2025-08-14,13,36.7,0.39636199443786074,1788.6,1700.5,-0.049,keep
35SMB,2025-08-14,14,4.0,0.3019770516128266,1850.0,1764.3,-0.046,keep
35SMB,2025-08-14,15,6.0,0.23615814786417447,1875.6,1757.8,-0.063,keep
35SMB,2025-08-14,16,45.2,0.4040837281584478,1651.0,1536.9,-0.069,keep
35SMB,2025-08-14,17,4.6,0.2557477558202933,1583.1,1513.3,-0.044,keep
35SMB,2025-08-14,18,3.1,0.20865044584281353,1805.6,1647.7,-0.087,keep
35SMB,2025-08-14,19,4.8,0.2418407499899207,1562.5,1446.8,-0.074,keep
35SMB,2025-08-14,20,4.3,0.21491395162692306,1626.4,1511.1,-0.071,keep
35SMB,2025-08-14,21,3.1,0.23676944618245035,1981.6,1881.9,-0.05,keep
35SMB,2025-08-31,0,4.6,0.2474104545649711,1312.1,1253.9,-0.044,keep
35SMB,2025-08-31,1,4.8,0.31402468166206443,1249.6,1208.7,-0.033,keep
35SMB,2025-08-31,2,3.7,0.19404775047338338,1365.5,1317.9,-0.035,keep
35SMB,2025-08-31,3,6.5,0.2678849146659779,1321.0,1286.9,-0.026,keep
35SMC,2025-08-17,0,11.0,0.3305809999060092,1873.0,1444.6,-0.229,keep
35SMC,2025-08-17,1,21.4,0.32882645724404036,2027.6,1521.0,-0.25,keep
35SMC,2025-08-17,2,9.3,0.26586840498418,1896.6,1525.5,-0.196,keep
35SMC,2025-08-17,3,77.3,0.3200247036902861,2152.7,1628.9,-0.243,keep
35SMC,2025-08-17,4,46.1,0.5119263849422285,1289.7,1142.0,-0.114,keep
35SMC,2025-08-17,5,5.9,0.24727094502671895,1714.3,1531.0,-0.107,keep
35SMC,2025-08-19,0,20.5,0.3464138565923011,2002.0,1498.8,-0.251,keep
35SMC,2025-08-19,1,73.6,0.3334758343574412,2135.5,1609.0,-0.247,keep
35SMC,2025-08-19,2,50.3,0.5423485060271925,1299.7,1149.0,-0.116,keep
35SMC,2025-08-19,3,52.5,0.5009837946364009,1943.6,1538.3,-0.209,keep
35SMC,2025-08-19,4,168.1,0.5438478007383495,1729.8,1524.0,-0.119,keep
35SMC,2025-08-21,0,20.5,0.34099920325254135,2013.1,1499.3,-0.255,keep
35SMC,2025-08-21,1,73.1,0.332905124148319,2139.4,1607.2,-0.249,keep
35SMC,2025-08-21,2,48.0,0.5316306911957441,1278.7,1149.5,-0.101,keep
35SMC,2025-08-21,3,51.7,0.47924676966218127,1937.2,1531.8,-0.209,keep
35SMC,2025-08-21,4,164.5,0.5318588444332231,1719.8,1517.8,-0.117,keep
35SMC,2025-08-24,0,20.8,0.3540884661137423,2017.1,1504.6,-0.254,keep
35SMC,2025-08-24,1,76.1,0.3459895635217655,2147.9,1642.0,-0.236,keep
35SMC,2025-08-24,2,48.0,0.5371937065099415,1300.1,1136.9,-0.125,keep
35SMC,2025-08-24,3,52.8,0.5009494444933907,1935.4,1564.8,-0.191,keep
35SMC,2025-08-24,4,171.2,0.5670646548222305,1725.8,1558.9,-0.097,keep
35SMC,2025-08-27,0,20.2,0.35164695442124394,1930.2,1504.9,-0.22,keep
35SMC,2025-08-27,1,11.2,0.40163460301153736,1846.9,1465.1,-0.207,keep
35SMC,2025-08-27,2,9.3,0.2810559590621445,1815.4,1482.7,-0.183,keep
35SMC,2025-08-27,3,78.1,0.351220510539578,2063.0,1673.6,-0.189,keep
35SMC,2025-08-27,4,48.9,0.50852022388221,1265.2,1138.4,-0.1,keep
35SMC,2025-08-29,0,71.1,0.3361724870821608,2055.6,1637.1,-0.204,keep
35SMC,2025-08-29,1,43.3,0.5485908851311156,1257.4,1112.6,-0.115,keep
35SMC,2025-08-29,2,163.6,0.5570809611046162,1710.1,1551.2,-0.093,keep
35SMC,2025-08-29,3,27.1,0.44806824248868987,1361.6,1223.3,-0.102,keep
35SMC,2025-08-31,0,68.6,0.2877389696853339,2038.7,1663.6,-0.184,keep
35SMC,2025-08-31,1,21.3,0.5138530592714259,1234.1,1087.5,-0.119,keep
35SMC,2025-08-31,2,149.3,0.29986973138164674,1669.0,1516.7,-0.091,keep
35SMC,2025-08-31,3,26.0,0.43995050941714353,1335.1,1217.6,-0.088,keep
35SMC,2025-08-31,4,21.3,0.1882660664003426,1807.9,1368.4,-0.243,keep
35SMD,2025-08-17,0,4.7,0.26818613440005423,2212.6,2042.1,-0.077,keep
35SMD,2025-08-17,1,3.0,0.31876962824288907,2020.5,1773.8,-0.122,keep
35SMD,2025-08-17,2,3.6,0.2316496332440353,2184.9,1700.8,-0.222,keep
35SMD,2025-08-22,0,3.6,0.32347156676905514,1942.2,1583.4,-0.185,keep
35SMD,2025-08-27,0,4.7,0.42769541272286343,2144.0,2146.0,0.001,keep
35SMD,2025-08-27,1,6.4,0.3590823171223547,2180.1,2232.4,0.024,keep
35SMD,2025-08-27,2,3.3,0.33246480373618664,1762.8,2234.4,0.267,eliminate
35SMV,2025-08-11,0,5.5,0.1728347615450631,1467.0,1673.7,0.141,eliminate
35SMV,2025-08-11,1,5.3,0.1835487004550016,1564.4,2275.8,0.455,eliminate
35SMV,2025-08-11,2,10.8,0.22458346228957585,1978.6,3392.7,0.715,eliminate
35SMV,2025-08-28,0,8.8,0.1855947610374799,1688.6,1649.0,-0.023,keep
35SNA,2025-07-30,0,10.6,0.38267698477004325,2002.2,1352.2,-0.325,keep
35SNA,2025-08-14,0,6.0,0.20704383695317888,1992.5,1469.3,-0.263,keep
35SNB,2025-08-11,0,33.7,0.38747822923529845,1920.9,1899.7,-0.011,keep
35SNB,2025-08-11,1,53.9,0.36094576892286095,1813.1,1815.6,0.001,keep
35SNB,2025-08-14,0,48.6,0.33235084342702303,1907.3,1722.0,-0.097,keep
35SNB,2025-08-14,1,33.2,0.37638156739368167,1908.9,1810.2,-0.052,keep
35SNC,2025-08-14,0,96.8,0.4157137633125205,2416.5,1270.0,-0.474,keep
35SNC,2025-08-14,1,760.0,0.34615257674322464,2085.8,1281.1,-0.386,keep
35SNC,2025-08-14,2,222.0,0.5389947949185072,1330.0,1412.1,0.062,eliminate
35SNC,2025-08-14,3,32.9,0.3575132205105862,1407.8,1419.8,0.009,keep
35SNC,2025-08-14,4,46.8,0.4247185550088144,1798.8,1258.5,-0.3,keep
35SNC,2025-08-14,5,32.3,0.39450010362403765,1909.0,1808.8,-0.052,keep
35SNC,2025-08-14,6,20.4,0.23723230562426884,1734.6,1679.1,-0.032,keep
35SNC,2025-08-19,0,218.9,0.539541389469803,1317.7,1392.8,0.057,eliminate
35SNC,2025-08-19,1,45.6,0.4454978361703364,1791.2,1237.9,-0.309,keep
35SND,2025-08-14,0,102.1,0.4075822202302033,2424.1,1306.8,-0.461,keep
35SND,2025-08-14,1,22.7,0.2522987066539755,1942.9,1821.8,-0.062,keep
35SND,2025-08-14,2,771.8,0.35417899011923043,2081.5,1280.8,-0.385,keep
35SND,2025-08-14,3,48.7,0.4166973737222904,1796.7,1272.7,-0.292,keep
35SND,2025-08-14,4,495.2,0.6851675741921396,1567.0,1415.8,-0.096,keep
35SND,2025-08-14,5,32.0,0.3674206550687538,2239.6,1516.7,-0.323,keep
35SND,2025-08-14,6,342.3,0.5229747408498518,2201.1,1867.1,-0.152,keep
35SND,2025-08-19,0,47.9,0.44231487491286403,1794.0,1257.7,-0.299,keep
35SND,2025-08-19,1,32.4,0.40309602104183745,1917.5,1138.0,-0.406,keep
35SNV,2025-08-14,0,6.4,0.19005160441629293,1462.7,1550.0,0.06,eliminate
35SNV,2025-08-14,1,3.5,0.20065004748809737,1801.7,1958.5,0.087,eliminate
35SNV,2025-08-28,0,7.6,0.1844590194916991,1642.6,1618.8,-0.014,keep
35SPA,2025-08-16,0,4.0,0.21952557988629326,1660.0,1834.8,0.105,eliminate
35SPA,2025-08-16,1,4.3,0.28075932009625365,1800.4,1646.7,-0.085,keep
35SPA,2025-08-16,2,3.2,0.1860153274371044,1652.5,1627.8,-0.015,keep
35SPA,2025-08-16,3,27.0,0.4127509181903006,1646.7,1971.9,0.197,eliminate
35SPA,2025-08-16,4,12.7,0.2213472784794883,1471.8,1566.6,0.064,eliminate
35SPA,2025-08-16,5,4.0,0.19021012359117623,1693.4,1622.9,-0.042,keep
35SPA,2025-08-16,6,15.0,0.40653838043250756,2037.3,2252.7,0.106,eliminate
35SPA,2025-08-16,7,7.5,0.1544215791175428,3642.2,2295.7,-0.37,keep
35SPA,2025-08-18,0,4.0,0.22525865571746867,1644.5,1834.8,0.116,eliminate
35SPA,2025-08-18,1,4.3,0.28259272703643556,1793.2,1646.7,-0.082,keep
35SPA,2025-08-18,2,4.3,0.23342706114430517,1664.8,1634.0,-0.019,keep
35SPA,2025-08-18,3,26.4,0.38662271300240153,1651.0,1976.7,0.197,eliminate
35SPA,2025-08-18,4,15.0,0.40023678214272157,2069.7,2252.7,0.088,eliminate
35SPA,2025-08-18,5,9.2,0.16227040475520643,3645.4,2306.7,-0.367,keep
35SPA,2025-08-21,0,5.2,0.23151908382480715,1707.6,1684.4,-0.014,keep
35SPA,2025-08-28,0,32.5,0.31489145769116544,1602.2,1715.0,0.07,eliminate
35SPA,2025-08-28,1,39.0,0.5184127118874954,1489.7,1380.6,-0.073,keep
35SPA,2025-08-31,0,22.2,0.2951936827796794,1567.9,1522.0,-0.029,keep
35SPA,2025-08-31,1,38.7,0.5131047227326001,1490.0,1433.6,-0.038,keep
35SPB,2025-08-16,0,23.5,0.4494979978819954,2021.9,2529.2,0.251,eliminate
35SPB,2025-08-16,1,21.3,0.3657244572109283,2020.9,2355.9,0.166,eliminate
35SPB,2025-08-16,2,20.4,0.3414355005865958,2135.0,2421.3,0.134,eliminate
35SPB,2025-08-16,3,60.7,0.33109504104477255,2070.3,2300.7,0.111,eliminate
35SPB,2025-08-16,4,22.7,0.3563430518011057,2006.5,2473.3,0.233,eliminate
35SPB,2025-08-16,5,26.9,0.3347054233583727,2059.8,2202.2,0.069,eliminate
35SPB,2025-08-16,6,24.7,0.36784174075674886,1962.1,2456.3,0.252,eliminate
35SPB,2025-08-16,7,21.8,0.30324962509194414,2107.1,2428.2,0.152,eliminate
35SPB,2025-08-16,8,50.4,0.2953729423351487,2137.8,2444.1,0.143,eliminate
35SPB,2025-08-16,9,24.6,0.36443923230217923,1259.3,1231.0,-0.023,keep
35SPB,2025-08-16,10,25.5,0.46624459491397974,1756.9,3116.5,0.774,eliminate
35SPB,2025-08-18,0,33.7,0.4501332117784628,2019.4,2494.2,0.235,eliminate
35SPB,2025-08-18,1,21.8,0.3387941082701807,2000.0,2319.6,0.16,eliminate
35SPB,2025-08-18,2,21.0,0.395178555771561,1916.9,2474.4,0.291,eliminate
35SPB,2025-08-18,3,24.0,0.38990927978906864,1254.5,1230.4,-0.019,keep
35SPB,2025-08-18,4,25.2,0.4608555166371494,1761.7,3121.8,0.772,eliminate
35SPB,2025-08-19,0,32.3,0.44893195880447023,2008.6,2463.0,0.226,eliminate
35SPB,2025-08-19,1,28.3,0.31519324246337577,2103.1,2206.7,0.049,keep
35SPB,2025-08-21,0,46.8,0.3679196795990221,2014.7,2383.9,0.183,eliminate
35SPB,2025-08-21,1,29.8,0.2938234908611882,2110.9,2404.4,0.139,eliminate
35SPB,2025-08-21,2,29.8,0.33439763510885556,2001.1,2425.6,0.212,eliminate
35SPB,2025-08-21,3,24.3,0.38244230390458256,1254.0,1282.7,0.023,keep
35SPB,2025-08-21,4,28.9,0.42600594834386935,1824.6,2993.6,0.641,eliminate
35SPC,2025-08-16,0,25.5,0.4258810902745842,2067.7,2571.7,0.244,eliminate
35SPC,2025-08-16,1,30.0,0.3311282083269119,2023.7,2317.3,0.145,eliminate
35SPC,2025-08-16,2,22.1,0.2813248275154943,2053.2,2320.5,0.13,eliminate
35SPC,2025-08-16,3,22.4,0.35284910775765627,1997.3,2484.4,0.244,eliminate
35SPC,2025-08-16,4,28.9,0.34150706237461437,1984.2,2526.6,0.273,eliminate
35SPC,2025-08-16,5,24.4,0.35530925049844203,2258.1,2582.4,0.144,eliminate
35SPC,2025-08-16,6,67.6,0.44732236332980657,1862.8,1425.8,-0.235,keep
35SPC,2025-08-16,7,56.7,0.2867682184870587,2108.2,2388.8,0.133,eliminate
35SPC,2025-08-16,8,25.5,0.4722349594958161,1761.3,3131.6,0.778,eliminate
35SPC,2025-08-18,0,33.7,0.4383426031564431,2053.0,2533.3,0.234,eliminate
35SPC,2025-08-18,1,23.0,0.33916421171034433,2025.4,2379.4,0.175,eliminate
35SPC,2025-08-18,2,21.0,0.3486106834410815,2036.5,2330.0,0.144,eliminate
35SPC,2025-08-18,3,28.1,0.3371945548954862,2007.6,2491.3,0.241,eliminate
35SPC,2025-08-18,4,23.0,0.37505443951273626,1892.7,2538.8,0.341,eliminate
35SPC,2025-08-18,5,69.6,0.4607490616912744,1861.7,1450.8,-0.221,keep
35SPC,2025-08-18,6,25.0,0.4699224916681374,1759.1,3134.2,0.782,eliminate
35SPC,2025-08-18,7,22.3,0.6703217384837019,2405.6,2412.5,0.003,keep
35SPD,2025-08-16,0,24.1,0.1875535401099289,2108.9,1753.7,-0.168,keep
35SPD,2025-08-16,1,29.2,0.21317513761939139,2248.5,1809.6,-0.195,keep
35SPD,2025-08-18,0,23.6,0.19460963591505567,2036.7,1811.5,-0.111,keep
35SPD,2025-08-19,0,3.0,0.2753846418195889,1675.4,1783.0,0.064,eliminate
35SPD,2025-08-19,1,5.3,0.2207860364111133,2007.2,1636.5,-0.185,keep
35SPD,2025-08-19,2,3.6,0.26587001886877976,2282.6,1798.4,-0.212,keep
35SPD,2025-08-19,3,7.3,0.23838422569327264,1885.8,2413.1,0.28,eliminate
35SPD,2025-08-21,0,5.5,0.19446206616812842,1989.4,1638.5,-0.176,keep
35SPD,2025-08-21,1,3.1,0.25644282192585094,2199.7,1741.2,-0.208,keep
35SPD,2025-08-21,2,3.4,0.22402061037290766,1831.2,2362.3,0.29,eliminate
35SPD,2025-08-21,3,3.3,0.1582948159956525,2467.5,2062.3,-0.164,keep
35SPD,2025-08-21,4,4.7,0.16849006373225378,1772.3,1518.1,-0.143,keep
35SPD,2025-08-21,5,4.2,0.15939892015821483,2218.2,1842.4,-0.169,keep
35SPD,2025-08-21,6,11.4,0.18270532775191717,2247.5,1776.2,-0.21,keep
35SPD,2025-08-21,7,5.3,0.1771916306364139,2118.9,1659.6,-0.217,keep
35SPD,2025-08-21,8,5.3,0.33870620043845057,2438.5,1543.4,-0.367,keep
35SQA,2025-07-22,0,22.4,0.18616314294557598,2516.5,2759.3,0.096,eliminate
35SQA,2025-07-22,1,75.9,0.19481903508952703,2240.3,2233.4,-0.003,keep
35SQA,2025-08-13,0,4.9,0.3639457321266363,2840.8,2761.1,-0.028,keep
35SQA,2025-08-13,1,4.6,0.1534359521407335,1714.4,1926.9,0.124,eliminate
