aoi,date,in,elim_brightening,out,out_ha
35SMA,2025-07-30,1,0,1,3.2
35SMB,2025-08-01,1,1,0,0
35SMB,2025-08-14,22,0,22,261.0
35SMC,2025-07-15,8,0,8,102.5
35SMC,2025-07-20,6,1,5,55.1
35SMC,2025-07-22,7,2,5,54.0
35SMC,2025-07-25,3,1,2,49.0
35SMC,2025-07-30,1,1,0,0
35SMC,2025-08-01,1,1,0,0
35SMC,2025-08-04,1,1,0,0
35SMC,2025-08-11,1,0,1,33.3
35SMC,2025-08-14,5,0,5,8136.0
35SMD,2025-07-15,2,0,2,133.1
35SMD,2025-07-18,5,2,3,1285.8
35SMD,2025-07-20,2,0,2,1227.9
35SMD,2025-07-22,2,0,2,1317.9
35SMD,2025-07-23,7,3,4,1231.3
35SMD,2025-07-25,3,0,3,1380.7
35SMD,2025-07-28,6,1,5,1221.1
35SMD,2025-07-30,2,0,2,1231.2
35SMD,2025-08-01,2,0,2,74.2
35SMD,2025-08-04,1,0,1,66.9
35SMD,2025-08-07,1,1,0,0
35SMD,2025-08-12,3,0,3,73.4
35SMD,2025-08-14,6,0,6,1139.4
35SMV,2025-08-06,1,1,0,0
35SMV,2025-08-08,1,1,0,0
35SMV,2025-08-11,3,3,0,0
35SNA,2025-07-30,1,0,1,10.6
35SNA,2025-08-14,1,0,1,6.0
35SNB,2025-07-19,1,0,1,29.7
35SNB,2025-07-20,1,1,0,0
35SNB,2025-07-22,1,1,0,0
35SNB,2025-07-25,1,1,0,0
35SNB,2025-07-27,2,1,1,21.7
35SNB,2025-07-29,3,1,2,76.2
35SNB,2025-07-30,4,1,3,96.8
35SNB,2025-08-01,3,0,3,111.0
35SNB,2025-08-04,3,0,3,111.3
35SNB,2025-08-06,3,0,3,110.2
35SNB,2025-08-08,2,0,2,56.0
35SNB,2025-08-11,2,0,2,87.6
35SNB,2025-08-14,2,0,2,81.7
35SNC,2025-07-20,1,0,1,28.3
35SNC,2025-07-27,1,0,1,63.2
35SNC,2025-07-29,2,0,2,117.6
35SNC,2025-07-30,5,1,4,208.7
