aoi,event_id,first_date,last_date,n_detections,n_scenes,max_scene_ha,mean_dnbr,status,recovery_delta,fire_type,cropland_frac,viirs_points,verification
konya,konya_001,2021-06-30,2021-07-02,2,2,49.3,0.502,confirmed,-0.253,agricultural,0.456,0,unverified
konya,konya_002,2021-06-30,2021-06-30,1,1,27.1,0.497,rejected_transient,,,,,
konya,konya_003,2021-07-15,2021-07-15,1,1,29.5,0.384,rejected_transient,,,,,
konya,konya_004,2021-08-04,2021-08-04,1,1,36.3,0.517,rejected_transient,,,,,
konya,konya_005,2021-08-24,2021-08-24,1,1,30.2,0.409,rejected_transient,,,,,
konya,konya_006,2021-09-05,2021-09-10,3,3,22.9,0.425,confirmed,-0.113,agricultural,0.505,0,unverified
konya,konya_007,2021-09-10,2021-09-13,2,2,42.1,0.503,rejected_recovered,-0.039,,,,
konya,konya_008,2021-09-10,2021-09-13,2,2,23.0,0.592,rejected_recovered,0.005,,,,
konya,konya_009,2026-08-28,2026-08-28,1,1,22.3,0.304,pending,,wildland,0.347,0,
konya,konya_010,2026-08-28,2026-08-28,1,1,24.4,0.456,pending,,wildland,0.312,0,
konya,konya_011,2026-08-28,2026-09-02,2,2,27.1,0.703,confirmed,,wildland,0.059,0,unverified
konya,konya_012,2026-08-28,2026-08-28,1,1,21.0,0.504,pending,,wildland,0.287,0,
konya,konya_013,2026-08-28,2026-09-02,2,2,46.8,0.381,confirmed,,agricultural,0.359,0,unverified
mugla,mugla_001,2021-06-28,2021-07-08,3,3,46.8,0.69,confirmed,-0.655,wildland,0.0,2,thermal
mugla,mugla_002,2021-08-02,2021-08-07,2,2,3.9,0.374,confirmed,-0.381,wildland,0.0,9,thermal
mugla,mugla_003,2021-08-02,2021-08-17,20,4,9600.1,0.429,confirmed,-0.549,wildland,0.002,366,thermal
mugla,mugla_004,2021-08-02,2021-08-07,2,2,3.2,0.325,confirmed,-0.325,wildland,0.035,0,unverified
mugla,mugla_005,2021-08-02,2021-08-07,2,2,7.2,0.274,confirmed,-0.262,wildland,0.0,16,thermal
mugla,mugla_006,2021-08-02,2021-08-07,2,2,3.5,0.35,confirmed,-0.356,wildland,0.0,1,thermal
mugla,mugla_007,2021-08-02,2021-08-07,2,2,4.4,0.308,confirmed,-0.322,wildland,0.0,21,thermal
mugla,mugla_008,2021-08-02,2021-08-02,1,1,5.4,0.278,rejected_transient,,,,,
mugla,mugla_009,2021-08-07,2021-08-12,2,2,9.3,0.584,confirmed,-0.591,wildland,0.0,6,thermal
mugla,mugla_010,2021-08-07,2021-08-12,2,2,17.0,0.481,confirmed,-0.445,wildland,0.0,5,thermal
mugla,mugla_011,2021-08-07,2021-08-12,2,2,7.2,0.328,confirmed,-0.27,wildland,0.243,4,thermal
mugla,mugla_012,2021-08-07,2021-08-17,3,3,23.9,0.616,confirmed,-0.643,wildland,0.066,0,unverified
mugla,mugla_013,2021-08-07,2021-08-17,3,3,117.7,0.422,confirmed,-0.388,wildland,0.0,5,thermal
mugla,mugla_014,2021-08-07,2021-08-12,2,2,4.3,0.373,confirmed,-0.379,wildland,0.0,0,unverified
mugla,mugla_015,2021-08-27,2021-08-27,1,1,4.0,0.407,rejected_transient,,,,,
mugla,mugla_016,2026-09-05,2026-09-05,1,1,9.6,0.19,pending,,wildland,0.0,0,
