event_id,status,first_date,last_date,max_scene_ha,modis_hotspot,viirs_points
mugla_001,confirmed,2021-06-28,2021-07-08,46.8,0,2
mugla_002,confirmed,2021-08-02,2021-08-07,3.9,1,9
mugla_003,confirmed,2021-08-02,2021-08-17,9600.1,1,366
mugla_004,confirmed,2021-08-02,2021-08-07,3.2,1,0
mugla_005,confirmed,2021-08-02,2021-08-07,7.2,1,16
mugla_006,confirmed,2021-08-02,2021-08-07,3.5,1,1
mugla_007,confirmed,2021-08-02,2021-08-07,4.4,1,21
mugla_008,rejected_transient,2021-08-02,2021-08-02,5.4,1,20
mugla_009,confirmed,2021-08-07,2021-08-12,9.3,1,6
mugla_010,confirmed,2021-08-07,2021-08-12,17.0,1,5
mugla_011,confirmed,2021-08-07,2021-08-12,7.2,1,4
mugla_012,confirmed,2021-08-07,2021-08-17,23.9,0,0
mugla_013,confirmed,2021-08-07,2021-08-17,117.7,0,5
mugla_014,confirmed,2021-08-07,2021-08-12,4.3,0,0
mugla_015,pending,2021-08-27,2021-08-27,4.0,0,0
konya_001,confirmed,2021-06-30,2021-07-02,49.3,0,0
konya_002,rejected_transient,2021-06-30,2021-06-30,27.1,0,0
konya_003,rejected_transient,2021-07-15,2021-07-15,29.5,0,0
konya_004,rejected_transient,2021-08-04,2021-08-04,36.3,0,0
konya_005,pending,2021-08-24,2021-08-24,30.2,0,0
konya_006,confirmed,2021-09-05,2021-09-10,22.9,0,0
konya_007,rejected_recovered,2021-09-10,2021-09-13,42.1,0,0
konya_008,rejected_recovered,2021-09-10,2021-09-13,23.0,0,0
