aoi,date,candidates,elim_landcover,elim_geometry,elim_burst,elim_transient,survivors,survivor_ha
35SMA,2025-07-30,1,0,0,0,0,1,3.2
35SMB,2025-08-14,23,0,1,0,23,0,0
35SMB,2025-08-29,3,0,0,0,3,0,0
35SMB,2025-08-31,4,0,0,0,0,4,19.6
35SMC,2025-08-27,6,0,0,0,1,5,167.7
35SMC,2025-08-29,86,72,10,77,22,4,305.1
35SMC,2025-08-31,87,76,9,78,0,5,286.5
35SMD,2025-08-27,33,11,1,0,21,3,14.5
35SMD,2025-08-29,96,82,6,88,20,0,0
35SMD,2025-08-31,94,79,5,88,0,0,0
35SMV,2025-08-11,3,0,0,0,3,0,0
35SMV,2025-08-24,1,0,0,0,1,0,0
35SMV,2025-08-28,1,0,0,0,0,1,8.8
35SNA,2025-08-28,1,1,0,0,0,0,0
35SNA,2025-08-29,1,1,0,0,1,0,0
35SNA,2025-08-31,1,1,0,0,0,0,0
35SNB,2025-08-18,754,714,49,720,91,0,0
35SNB,2025-08-19,805,769,56,754,231,0,0
35SNB,2025-08-21,769,730,61,732,0,0,0
35SNC,2025-08-16,1252,1223,81,1100,96,0,0
35SNC,2025-08-18,1190,1160,67,1061,136,0,0
35SNC,2025-08-19,2098,2050,154,1862,0,2,264.5
35SND,2025-08-26,183,178,12,179,50,0,0
35SND,2025-08-28,160,154,13,157,36,0,0
35SND,2025-08-29,482,464,46,469,0,0,0
35SNV,2025-08-24,1,1,1,0,0,0,0
35SNV,2025-08-26,1,1,0,0,0,0,0
35SNV,2025-08-28,2,1,1,0,0,1,7.6
35SPA,2025-08-21,9,6,1,0,4,1,5.2
35SPA,2025-08-28,51,29,6,47,20,2,71.5
35SPA,2025-08-31,55,36,5,51,0,2,60.8
35SPB,2025-08-18,656,466,33,620,152,5,125.8
35SPB,2025-08-19,330,244,28,315,67,2,60.7
35SPB,2025-08-21,647,502,42,607,0,5,159.6
35SPC,2025-08-14,524,434,33,479,137,10,337.5
35SPC,2025-08-16,775,643,51,719,155,9,303.2
